experiment,user_type,policy,alpha_mix,episode,explained,modality,scope,detail,utility,oracle_utility,regret,curiosity,explanation_cost,feedback_modality,feedback_scope,feedback_detail
1,VisualLearner,AE,,4,1,1,1,1,-1.0,0.95,0.8800000000000001,0.0,2.0,0,0,1
1,VisualLearner,AE,,5,1,1,1,1,0.0,0.95,0.8800000000000001,0.0,2.0,1,1,0
1,VisualLearner,AE,,6,1,1,1,1,1.0,0.95,0.8800000000000001,0.0,2.0,1,1,1
1,VisualLearner,AE,,7,1,1,1,1,0.0,0.95,0.8800000000000001,0.0,2.0,0,1,1
1,VisualLearner,AE,,8,1,1,1,1,0.0,0.95,0.8800000000000001,0.0,2.0,1,0,1
1,VisualLearner,AE,,9,1,1,1,1,1.0,0.95,0.8800000000000001,0.0,2.0,1,1,1
1,VisualLearner,AE,,10,1,1,1,1,0.0,0.95,0.8800000000000001,0.0,2.0,1,1,0
1,VisualLearner,AE,,11,1,1,1,1,-1.0,0.95,0.8800000000000001,0.0,2.0,0,1,0
1,VisualLearner,AE,,12,1,1,1,1,1.0,0.95,0.8800000000000001,0.0,2.0,1,1,1
1,VisualLearner,AE,,13,1,1,1,1,0.0,0.95,0.8800000000000001,0.0,2.0,1,1,0
1,VisualLearner,AE,,14,1,1,1,1,-1.0,0.95,0.8800000000000001,0.0,2.0,1,0,0
1,VisualLearner,AE,,15,1,1,1,1,1.0,0.95,0.8800000000000001,0.0,2.0,1,1,1
1,VisualLearner,AE,,16,1,1,1,1,0.0,0.95,0.8800000000000001,0.0,2.0,0,1,1
1,VisualLearner,AE,,17,1,1,1,1,0.0,0.95,0.8800000000000001,0.0,2.0,1,0,1
1,VisualLearner,AE,,18,1,1,1,1,-1.0,0.95,0.8800000000000001,0.0,2.0,1,0,0
1,VisualLearner,AE,,19,1,1,1,1,-1.0,0.95,0.8800000000000001,0.0,2.0,0,0,1
1,VisualLearner,AE,,20,1,1,1,1,-1.0,0.95,0.8800000000000001,0.0,2.0,1,0,0
1,VisualLearner,AE,,21,1,1,1,1,-1.0,0.95,0.8800000000000001,0.0,2.0,1,0,0
1,VisualLearner,AE,,22,1,1,1,1,0.0,0.95,0.8800000000000001,0.0,2.0,1,1,0
1,VisualLearner,AE,,23,1,1,1,1,0.0,0.95,0.8800000000000001,0.0,2.0,1,0,1
1,VisualLearner,AE,,24,1,1,1,1,0.0,0.95,0.8800000000000001,0.0,2.0,0,1,1
1,VisualLearner,AE,,25,1,1,1,1,0.0,0.95,0.8800000000000001,0.0,2.0,0,1,1
1,VisualLearner,AE,,26,1,1,1,1,-2.0,0.95,0.8800000000000001,0.0,2.0,0,0,0
1,VisualLearner,AE,,27,1,1,1,1,0.0,0.95,0.8800000000000001,0.0,2.0,1,1,0
1,VisualLearner,AE,,28,1,1,1,1,-1.0,0.95,0.8800000000000001,0.0,2.0,0,1,0
1,VisualLearner,AE,,29,1,1,1,1,-1.0,0.95,0.8800000000000001,0.0,2.0,0,0,1
1,VisualLearner,AE,,30,1,1,1,1,1.0,0.95,0.8800000000000001,0.0,2.0,1,1,1
1,VisualLearner,AE,,31,1,1,1,1,0.0,0.95,0.8800000000000001,0.0,2.0,1,1,0
1,VisualLearner,AE,,32,1,1,1,1,1.0,0.95,0.8800000000000001,0.0,2.0,1,1,1
1,VisualLearner,AE,,33,1,1,1,1,0.0,0.95,0.8800000000000001,0.0,2.0,1,0,1
1,VisualLearner,AE,,34,1,1,1,1,0.0,0.95,0.8800000000000001,0.0,2.0,1,1,0
1,VisualLearner,AE,,35,1,1,1,1,0.0,0.95,0.8800000000000001,0.0,2.0,1,1,0
1,VisualLearner,AE,,36,1,1,1,1,0.0,0.95,0.8800000000000001,0.0,2.0,1,0,1
1,VisualLearner,AE,,37,1,1,1,1,-1.0,0.95,0.8800000000000001,0.0,2.0,0,1,0
1,VisualLearner,AE,,38,1,1,1,1,0.0,0.95,0.8800000000000001,0.0,2.0,1,0,1
1,VisualLearner,AE,,39,1,1,1,1,0.0,0.95,0.8800000000000001,0.0,2.0,1,0,1
1,VisualLearner,AE,,40,1,1,1,1,-1.0,0.95,0.8800000000000001,0.0,2.0,0,0,1
1,VisualLearner,AE,,41,1,1,1,1,-1.0,0.95,0.8800000000000001,0.0,2.0,0,1,0
1,VisualLearner,AE,,42,1,1,1,1,0.0,0.95,0.8800000000000001,0.0,2.0,1,1,0
1,VisualLearner,AE,,43,1,1,1,1,0.0,0.95,0.8800000000000001,0.0,2.0,1,1,0
1,VisualLearner,AE,,44,1,1,1,1,-1.0,0.95,0.8800000000000001,0.0,2.0,0,0,1
1,VisualLearner,AE,,45,1,1,1,1,-1.0,0.95,0.8800000000000001,0.0,2.0,0,0,1
1,VisualLearner,AE,,46,1,1,1,1,-1.0,0.95,0.8800000000000001,0.0,2.0,1,0,0
1,VisualLearner,AE,,47,1,1,1,1,-1.0,0.95,0.8800000000000001,0.0,2.0,0,1,0
1,VisualLearner,AE,,48,1,1,1,1,0.0,0.95,0.8800000000000001,0.0,2.0,0,1,1
1,VisualLearner,AE,,49,1,1,1,1,0.0,0.95,0.8800000000000001,0.0,2.0,1,1,0
1,VisualLearner,NO,,0,1,1,1,1,0.0,0.95,0.8800000000000001,0.0,2.0,1,1,0
1,VisualLearner,NO,,1,1,1,1,1,0.0,0.95,0.8800000000000001,0.0,2.0,0,1,1
1,VisualLearner,NO,,2,0,0,1,1,0.0,0.95,0.95,0.0,0.0,0,0,0
1,VisualLearner,NO,,3,0,1,0,1,0.0,0.95,0.95,0.0,0.0,0,0,0
1,VisualLearner,NO,,4,1,1,1,1,0.0,0.95,0.8800000000000001,0.0,2.0,1,0,1
1,VisualLearner,NO,,5,1,1,0,0,0.0,0.95,0.24,0.0,1.0,0,0,1
1,VisualLearner,NO,,6,1,1,0,0,1.0,0.95,0.24,0.0,1.0,1,0,1
1,VisualLearner,NO,,7,0,1,0,1,0.0,0.95,0.95,0.0,0.0,0,0,0
1,VisualLearner,NO,,8,1,0,0,1,-1.0,0.95,1.5999999999999999,0.0,2.0,0,1,0
1,VisualLearner,NO,,9,1,1,1,0,2.0,0.95,0.0,0.0,1.0,1,1,1
1,VisualLearner,NO,,10,1,0,0,0,0.0,0.95,0.72,0.0,1.0,1,0,0
1,VisualLearner,NO,,11,0,0,1,0,0.0,0.95,0.95,0.0,0.0,0,0,0
1,VisualLearner,NO,,12,1,0,0,0,2.0,0.95,0.72,0.0,1.0,1,1,1
1,VisualLearner,NO,,13,1,1,1,1,-1.0,0.95,0.8800000000000001,0.0,2.0,1,0,0
1,VisualLearner,NO,,14,1,0,1,0,1.0,0.95,0.48,0.0,1.0,1,1,0
1,VisualLearner,NO,,15,1,1,1,1,-1.0,0.95,0.8800000000000001,0.0,2.0,0,0,1
1,VisualLearner,NO,,16,1,0,1,0,0.0,0.95,0.48,0.0,1.0,0,1,0
1,VisualLearner,NO,,17,0,0,1,1,0.0,0.95,0.95,0.0,0.0,0,0,0
1,VisualLearner,NO,,18,1,1,0,0,1.0,0.95,0.24,0.0,1.0,1,0,1
1,VisualLearner,NO,,19,1,0,1,0,0.0,0.95,0.48,0.0,1.0,0,0,1
